draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
2,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,483287257.57141834
2,Universal (All Ages),0.95,0.1,0.1,120078038.23369685
2,All Adults (18+),0.95,0.1,0.1,16782360.32692238
2,No Vaccination,0.95,0.1,0.1,1315210557.4637864
3,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,502848177.4883032
3,Universal (All Ages),0.95,0.1,0.1,171331914.76909566
3,All Adults (18+),0.95,0.1,0.1,17467388.32347752
3,No Vaccination,0.95,0.1,0.1,1365088887.663687
4,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,445925682.1676208
4,Universal (All Ages),0.95,0.1,0.1,60087188.10645956
4,All Adults (18+),0.95,0.1,0.1,15487833.025124533
4,No Vaccination,0.95,0.1,0.1,1211866023.6964765
5,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,499252646.60657346
5,Universal (All Ages),0.95,0.1,0.1,125172021.56955528
5,All Adults (18+),0.95,0.1,0.1,17342174.723705407
5,No Vaccination,0.95,0.1,0.1,1355511866.6378138
6,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,585709330.8693682
6,Universal (All Ages),0.95,0.1,0.1,159234561.71893284
6,All Adults (18+),0.95,0.1,0.1,20349376.3234327
6,No Vaccination,0.95,0.1,0.1,1587911030.9555619
7,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,517555426.0181341
7,Universal (All Ages),0.95,0.1,0.1,153446438.17081094
7,All Adults (18+),0.95,0.1,0.1,17979227.71041412
7,No Vaccination,0.95,0.1,0.1,1404459253.1862254
8,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,458302244.8982313
8,Universal (All Ages),0.95,0.1,0.1,137691364.12888315
8,All Adults (18+),0.95,0.1,0.1,15920093.749449857
8,No Vaccination,0.95,0.1,0.1,1244105236.4804046
9,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,435197748.67857337
9,Universal (All Ages),0.95,0.1,0.1,148579188.37684363
9,All Adults (18+),0.95,0.1,0.1,15114239.600116456
9,No Vaccination,0.95,0.1,0.1,1183288539.3826919
10,JCVI Spring 2025 (75+ only),0.95,0.1,0.1,487615443.6396387
10,Universal (All Ages),0.95,0.1,0.1,162533725.71025103
