policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
Universal (All Ages),0.8,0.0361,central,0.8,0.4,2603993711.6822057
All Adults (18+),0.8,0.0361,central,0.8,0.4,19577912.490749486
No Vaccination,0.8,0.0361,central,0.8,0.4,9751625842.674982
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.8,0.4,3548933567.0018487
Universal (All Ages),0.9,0.0361,central,0.8,0.4,1710539695.3081088
All Adults (18+),0.9,0.0361,central,0.8,0.4,19577912.490749486
No Vaccination,0.9,0.0361,central,0.8,0.4,9751625842.674982
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.8,0.4,3548933567.0018487
Universal (All Ages),0.95,0.0361,central,0.8,0.4,1263812687.1210604
All Adults (18+),0.95,0.0361,central,0.8,0.4,19577912.490749486
No Vaccination,0.95,0.0361,central,0.8,0.4,9751625842.674982
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.9,0.4,3988156665.6041055
Universal (All Ages),0.8,0.0361,central,0.9,0.4,2991223926.454878
All Adults (18+),0.8,0.0361,central,0.9,0.4,20020951.3746079
No Vaccination,0.8,0.0361,central,0.9,0.4,10960615692.814404
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.9,0.4,3988156665.6041055
Universal (All Ages),0.9,0.0361,central,0.9,0.4,1995049955.659937
All Adults (18+),0.9,0.0361,central,0.9,0.4,20020951.3746079
No Vaccination,0.9,0.0361,central,0.9,0.4,10960615692.814404
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.9,0.4,3988156665.6041055
Universal (All Ages),0.95,0.0361,central,0.9,0.4,1496962970.262467
All Adults (18+),0.95,0.0361,central,0.9,0.4,20020951.3746079
No Vaccination,0.95,0.0361,central,0.9,0.4,10960615692.814404
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1,0.4,4427379764.206361
Universal (All Ages),0.8,0.0361,central,1,0.4,3378454141.2275496
All Adults (18+),0.8,0.0361,central,1,0.4,20463990.258466307
No Vaccination,0.8,0.0361,central,1,0.4,12169605542.953825
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1,0.4,4427379764.206361
Universal (All Ages),0.9,0.0361,central,1,0.4,2279560216.011765
All Adults (18+),0.9,0.0361,central,1,0.4,20463990.258466307
No Vaccination,0.9,0.0361,central,1,0.4,12169605542.953825
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1,0.4,4427379764.206361
Universal (All Ages),0.95,0.0361,central,1,0.4,1730113253.4038734
All Adults (18+),0.95,0.0361,central,1,0.4,20463990.258466307
No Vaccination,0.95,0.0361,central,1,0.4,12169605542.953825
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.1,0.4,4866602862.808617
Universal (All Ages),0.8,0.0361,central,1.1,0.4,3765684356.0002213
All Adults (18+),0.8,0.0361,central,1.1,0.4,20907029.142324716
No Vaccination,0.8,0.0361,central,1.1,0.4,13378595393.093246
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.1,0.4,4866602862.808617
Universal (All Ages),0.9,0.0361,central,1.1,0.4,2564070476.3635936
All Adults (18+),0.9,0.0361,central,1.1,0.4,20907029.142324716
No Vaccination,0.9,0.0361,central,1.1,0.4,13378595393.093246
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.1,0.4,4866602862.808617
Universal (All Ages),0.95,0.0361,central,1.1,0.4,1963263536.54528
All Adults (18+),0.95,0.0361,central,1.1,0.4,20907029.142324716
No Vaccination,0.95,0.0361,central,1.1,0.4,13378595393.093246
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.2000000000000002,0.4,5305825961.410873
Universal (All Ages),0.8,0.0361,central,1.2000000000000002,0.4,4152914570.772894
All Adults (18+),0.8,0.0361,central,1.2000000000000002,0.4,21350068.02618313
No Vaccination,0.8,0.0361,central,1.2000000000000002,0.4,14587585243.232668
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.2000000000000002,0.4,5305825961.410873
Universal (All Ages),0.9,0.0361,central,1.2000000000000002,0.4,2848580736.7154217
All Adults (18+),0.9,0.0361,central,1.2000000000000002,0.4,21350068.02618313
No Vaccination,0.9,0.0361,central,1.2000000000000002,0.4,14587585243.232668
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.2000000000000002,0.4,5305825961.410873
Universal (All Ages),0.95,0.0361,central,1.2000000000000002,0.4,2196413819.6866865
All Adults (18+),0.95,0.0361,central,1.2000000000000002,0.4,21350068.02618313
No Vaccination,0.95,0.0361,central,1.2000000000000002,0.4,14587585243.232668
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.3000000000000003,0.4,5745049060.01313
Universal (All Ages),0.8,0.0361,central,1.3000000000000003,0.4,4540144785.545566
All Adults (18+),0.8,0.0361,central,1.3000000000000003,0.4,21793106.91004154
No Vaccination,0.8,0.0361,central,1.3000000000000003,0.4,15796575093.37209
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.3000000000000003,0.4,5745049060.01313
Universal (All Ages),0.9,0.0361,central,1.3000000000000003,0.4,3133090997.0672503
All Adults (18+),0.9,0.0361,central,1.3000000000000003,0.4,21793106.91004154
No Vaccination,0.9,0.0361,central,1.3000000000000003,0.4,15796575093.37209
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.3000000000000003,0.4,5745049060.01313
Universal (All Ages),0.95,0.0361,central,1.3000000000000003,0.4,2429564102.828093
All Adults (18+),0.95,0.0361,central,1.3000000000000003,0.4,21793106.91004154
No Vaccination,0.95,0.0361,central,1.3000000000000003,0.4,15796575093.37209
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.4000000000000001,0.4,6184272158.615386
Universal (All Ages),0.8,0.0361,central,1.4000000000000001,0.4,4927375000.318237
All Adults (18+),0.8,0.0361,central,1.4000000000000001,0.4,22236145.79389995
No Vaccination,0.8,0.0361,central,1.4000000000000001,0.4,17005564943.51151
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.4000000000000001,0.4,6184272158.615386
Universal (All Ages),0.9,0.0361,central,1.4000000000000001,0.4,3417601257.4190784
All Adults (18+),0.9,0.0361,central,1.4000000000000001,0.4,22236145.79389995
No Vaccination,0.9,0.0361,central,1.4000000000000001,0.4,17005564943.51151
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.4000000000000001,0.4,6184272158.615386
Universal (All Ages),0.95,0.0361,central,1.4000000000000001,0.4,2662714385.969499
All Adults (18+),0.95,0.0361,central,1.4000000000000001,0.4,22236145.79389995
No Vaccination,0.95,0.0361,central,1.4000000000000001,0.4,17005564943.51151
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.5000000000000002,0.4,6623495257.217642
Universal (All Ages),0.8,0.0361,central,1.5000000000000002,0.4,5314605215.090909
All Adults (18+),0.8,0.0361,central,1.5000000000000002,0.4,22679184.67775836
No Vaccination,0.8,0.0361,central,1.5000000000000002,0.4,18214554793.65093
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.5000000000000002,0.4,6623495257.217642
Universal (All Ages),0.9,0.0361,central,1.5000000000000002,0.4,3702111517.7709064
All Adults (18+),0.9,0.0361,central,1.5000000000000002,0.4,22679184.67775836
No Vaccination,0.9,0.0361,central,1.5000000000000002,0.4,18214554793.65093
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.5000000000000002,0.4,6623495257.217642
Universal (All Ages),0.95,0.0361,central,1.5000000000000002,0.4,2895864669.1109056
All Adults (18+),0.95,0.0361,central,1.5000000000000002,0.4,22679184.67775836
No Vaccination,0.95,0.0361,central,1.5000000000000002,0.4,18214554793.65093
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.6,0.4,7062718355.819897
Universal (All Ages),0.8,0.0361,central,1.6,0.4,5701835429.86358
All Adults (18+),0.8,0.0361,central,1.6,0.4,23122223.56161677
No Vaccination,0.8,0.0361,central,1.6,0.4,19423544643.790348
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.6,0.4,7062718355.819897
Universal (All Ages),0.9,0.0361,central,1.6,0.4,3986621778.122734
All Adults (18+),0.9,0.0361,central,1.6,0.4,23122223.56161677
No Vaccination,0.9,0.0361,central,1.6,0.4,19423544643.790348
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.6,0.4,7062718355.819897
Universal (All Ages),0.95,0.0361,central,1.6,0.4,3129014952.2523117
All Adults (18+),0.95,0.0361,central,1.6,0.4,23122223.56161677
No Vaccination,0.95,0.0361,central,1.6,0.4,19423544643.790348
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.7000000000000002,0.4,7501941454.422153
Universal (All Ages),0.8,0.0361,central,1.7000000000000002,0.4,6089065644.636252
All Adults (18+),0.8,0.0361,central,1.7000000000000002,0.4,23565262.44547518
No Vaccination,0.8,0.0361,central,1.7000000000000002,0.4,20632534493.92977
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.7000000000000002,0.4,7501941454.422153
Universal (All Ages),0.9,0.0361,central,1.7000000000000002,0.4,4271132038.4745626
All Adults (18+),0.9,0.0361,central,1.7000000000000002,0.4,23565262.44547518
No Vaccination,0.9,0.0361,central,1.7000000000000002,0.4,20632534493.92977
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.7000000000000002,0.4,7501941454.422153
Universal (All Ages),0.95,0.0361,central,1.7000000000000002,0.4,3362165235.3937182
All Adults (18+),0.95,0.0361,central,1.7000000000000002,0.4,23565262.44547518
No Vaccination,0.95,0.0361,central,1.7000000000000002,0.4,20632534493.92977
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.8000000000000003,0.4,7941164553.02441
Universal (All Ages),0.8,0.0361,central,1.8000000000000003,0.4,6476295859.408924
All Adults (18+),0.8,0.0361,central,1.8000000000000003,0.4,24008301.32933359
No Vaccination,0.8,0.0361,central,1.8000000000000003,0.4,21841524344.06919
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.8000000000000003,0.4,7941164553.02441
Universal (All Ages),0.9,0.0361,central,1.8000000000000003,0.4,4555642298.82639
All Adults (18+),0.9,0.0361,central,1.8000000000000003,0.4,24008301.32933359
No Vaccination,0.9,0.0361,central,1.8000000000000003,0.4,21841524344.06919
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.8000000000000003,0.4,7941164553.02441
Universal (All Ages),0.95,0.0361,central,1.8000000000000003,0.4,3595315518.535125
All Adults (18+),0.95,0.0361,central,1.8000000000000003,0.4,24008301.32933359
No Vaccination,0.95,0.0361,central,1.8000000000000003,0.4,21841524344.06919
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.9000000000000001,0.4,8380387651.626666
Universal (All Ages),0.8,0.0361,central,1.9000000000000001,0.4,6863526074.181597
All Adults (18+),0.8,0.0361,central,1.9000000000000001,0.4,24451340.213192
No Vaccination,0.8,0.0361,central,1.9000000000000001,0.4,23050514194.208614
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.9000000000000001,0.4,8380387651.626666
Universal (All Ages),0.9,0.0361,central,1.9000000000000001,0.4,4840152559.178219
All Adults (18+),0.9,0.0361,central,1.9000000000000001,0.4,24451340.213192
No Vaccination,0.9,0.0361,central,1.9000000000000001,0.4,23050514194.208614
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.9000000000000001,0.4,8380387651.626666
Universal (All Ages),0.95,0.0361,central,1.9000000000000001,0.4,3828465801.676532
All Adults (18+),0.95,0.0361,central,1.9000000000000001,0.4,24451340.213192
No Vaccination,0.95,0.0361,central,1.9000000000000001,0.4,23050514194.208614
JCVI Spring 2025 (75+ only),0.8,0.0361,central,2,0.4,8819610750.228922
Universal (All Ages),0.8,0.0361,central,2,0.4,7250756288.9542675
All Adults (18+),0.8,0.0361,central,2,0.4,24894379.097050413
No Vaccination,0.8,0.0361,central,2,0.4,24259504044.348034
JCVI Spring 2025 (75+ only),0.9,0.0361,central,2,0.4,8819610750.228922
Universal (All Ages),0.9,0.0361,central,2,0.4,5124662819.530046
All Adults (18+),0.9,0.0361,central,2,0.4,24894379.097050413
No Vaccination,0.9,0.0361,central,2,0.4,24259504044.348034
JCVI Spring 2025 (75+ only),0.95,0.0361,central,2,0.4,8819610750.228922
Universal (All Ages),0.95,0.0361,central,2,0.4,4061616084.817938
All Adults (18+),0.95,0.0361,central,2,0.4,24894379.097050413
No Vaccination,0.95,0.0361,central,2,0.4,24259504044.348034
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.1,0.5,474371876.7860561
Universal (All Ages),0.8,0.0361,central,0.1,0.5,-242389799.72649705
All Adults (18+),0.8,0.0361,central,0.1,0.5,16476640.303740615
No Vaccination,0.8,0.0361,central,0.1,0.5,1288696891.6990352
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.1,0.5,474371876.7860561
Universal (All Ages),0.9,0.0361,central,0.1,0.5,-433775636.15468854
All Adults (18+),0.9,0.0361,central,0.1,0.5,16476640.303740615
No Vaccination,0.9,0.0361,central,0.1,0.5,1288696891.6990352
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.1,0.5,474371876.7860561
Universal (All Ages),0.95,0.0361,central,0.1,0.5,-529468554.36878425
All Adults (18+),0.95,0.0361,central,0.1,0.5,16476640.303740615
No Vaccination,0.95,0.0361,central,0.1,0.5,1288696891.6990352
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.2,0.5,913594975.3883121
Universal (All Ages),0.8,0.0361,central,0.2,0.5,144840415.04617465
All Adults (18+),0.8,0.0361,central,0.2,0.5,16919679.187599026
No Vaccination,0.8,0.0361,central,0.2,0.5,2497686741.8384566
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.2,0.5,913594975.3883121
Universal (All Ages),0.9,0.0361,central,0.2,0.5,-149265375.80286038
All Adults (18+),0.9,0.0361,central,0.2,0.5,16919679.187599026
No Vaccination,0.9,0.0361,central,0.2,0.5,2497686741.8384566
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.2,0.5,913594975.3883121
Universal (All Ages),0.95,0.0361,central,0.2,0.5,-296318271.22737783
All Adults (18+),0.95,0.0361,central,0.2,0.5,16919679.187599026
No Vaccination,0.95,0.0361,central,0.2,0.5,2497686741.8384566
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.30000000000000004,0.5,1352818073.9905684
Universal (All Ages),0.8,0.0361,central,0.30000000000000004,0.5,532070629.8188467
All Adults (18+),0.8,0.0361,central,0.30000000000000004,0.5,17362718.071457434
No Vaccination,0.8,0.0361,central,0.30000000000000004,0.5,3706676591.977878
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.30000000000000004,0.5,1352818073.9905684
Universal (All Ages),0.9,0.0361,central,0.30000000000000004,0.5,135244884.54896784
All Adults (18+),0.9,0.0361,central,0.30000000000000004,0.5,17362718.071457434
No Vaccination,0.9,0.0361,central,0.30000000000000004,0.5,3706676591.977878
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.30000000000000004,0.5,1352818073.9905684
Universal (All Ages),0.95,0.0361,central,0.30000000000000004,0.5,-63167988.085971475
All Adults (18+),0.95,0.0361,central,0.30000000000000004,0.5,17362718.071457434
No Vaccination,0.95,0.0361,central,0.30000000000000004,0.5,3706676591.977878
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.4,0.5,1792041172.5928242
Universal (All Ages),0.8,0.0361,central,0.4,0.5,919300844.5915182
All Adults (18+),0.8,0.0361,central,0.4,0.5,17805756.955315847
No Vaccination,0.8,0.0361,central,0.4,0.5,4915666442.117298
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.4,0.5,1792041172.5928242
Universal (All Ages),0.9,0.0361,central,0.4,0.5,419755144.90079594
All Adults (18+),0.9,0.0361,central,0.4,0.5,17805756.955315847
No Vaccination,0.9,0.0361,central,0.4,0.5,4915666442.117298
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.4,0.5,1792041172.5928242
Universal (All Ages),0.95,0.0361,central,0.4,0.5,169982295.05543482
All Adults (18+),0.95,0.0361,central,0.4,0.5,17805756.955315847
No Vaccination,0.95,0.0361,central,0.4,0.5,4915666442.117298
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.5,0.5,2231264271.1950808
Universal (All Ages),0.8,0.0361,central,0.5,0.5,1306531059.36419
All Adults (18+),0.8,0.0361,central,0.5,0.5,18248795.839174256
No Vaccination,0.8,0.0361,central,0.5,0.5,6124656292.25672
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.5,0.5,2231264271.1950808
Universal (All Ages),0.9,0.0361,central,0.5,0.5,704265405.252624
All Adults (18+),0.9,0.0361,central,0.5,0.5,18248795.839174256
No Vaccination,0.9,0.0361,central,0.5,0.5,6124656292.25672
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.5,0.5,2231264271.1950808
Universal (All Ages),0.95,0.0361,central,0.5,0.5,403132578.19684124
All Adults (18+),0.95,0.0361,central,0.5,0.5,18248795.839174256
No Vaccination,0.95,0.0361,central,0.5,0.5,6124656292.25672
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.6,0.5,2670487369.7973366
Universal (All Ages),0.8,0.0361,central,0.6,0.5,1693761274.1368623
All Adults (18+),0.8,0.0361,central,0.6,0.5,18691834.72303267
No Vaccination,0.8,0.0361,central,0.6,0.5,7333646142.39614
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.6,0.5,2670487369.7973366
Universal (All Ages),0.9,0.0361,central,0.6,0.5,988775665.6044521
All Adults (18+),0.9,0.0361,central,0.6,0.5,18691834.72303267
No Vaccination,0.9,0.0361,central,0.6,0.5,7333646142.39614
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.6,0.5,2670487369.7973366
Universal (All Ages),0.95,0.0361,central,0.6,0.5,636282861.3382475
All Adults (18+),0.95,0.0361,central,0.6,0.5,18691834.72303267
No Vaccination,0.95,0.0361,central,0.6,0.5,7333646142.39614
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.7000000000000001,0.5,3109710468.3995934
Universal (All Ages),0.8,0.0361,central,0.7000000000000001,0.5,2080991488.9095345
All Adults (18+),0.8,0.0361,central,0.7000000000000001,0.5,19134873.606891077
No Vaccination,0.8,0.0361,central,0.7000000000000001,0.5,8542635992.5355625
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.7000000000000001,0.5,3109710468.3995934
Universal (All Ages),0.9,0.0361,central,0.7000000000000001,0.5,1273285925.9562807
All Adults (18+),0.9,0.0361,central,0.7000000000000001,0.5,19134873.606891077
No Vaccination,0.9,0.0361,central,0.7000000000000001,0.5,8542635992.5355625
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.7000000000000001,0.5,3109710468.3995934
Universal (All Ages),0.95,0.0361,central,0.7000000000000001,0.5,869433144.4796541
All Adults (18+),0.95,0.0361,central,0.7000000000000001,0.5,19134873.606891077
No Vaccination,0.95,0.0361,central,0.7000000000000001,0.5,8542635992.5355625
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.8,0.5,3548933567.0018487
Universal (All Ages),0.8,0.0361,central,0.8,0.5,2468221703.6822057
All Adults (18+),0.8,0.0361,central,0.8,0.5,19577912.490749486
No Vaccination,0.8,0.0361,central,0.8,0.5,9751625842.674982
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.8,0.5,3548933567.0018487
Universal (All Ages),0.9,0.0361,central,0.8,0.5,1557796186.3081088
All Adults (18+),0.9,0.0361,central,0.8,0.5,19577912.490749486
No Vaccination,0.9,0.0361,central,0.8,0.5,9751625842.674982
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.8,0.5,3548933567.0018487
Universal (All Ages),0.95,0.0361,central,0.8,0.5,1102583427.6210604
All Adults (18+),0.95,0.0361,central,0.8,0.5,19577912.490749486
No Vaccination,0.95,0.0361,central,0.8,0.5,9751625842.674982
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.9,0.5,3988156665.6041055
Universal (All Ages),0.8,0.0361,central,0.9,0.5,2855451918.454878
All Adults (18+),0.8,0.0361,central,0.9,0.5,20020951.3746079
No Vaccination,0.8,0.0361,central,0.9,0.5,10960615692.814404
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.9,0.5,3988156665.6041055
Universal (All Ages),0.9,0.0361,central,0.9,0.5,1842306446.659937
All Adults (18+),0.9,0.0361,central,0.9,0.5,20020951.3746079
No Vaccination,0.9,0.0361,central,0.9,0.5,10960615692.814404
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.9,0.5,3988156665.6041055
Universal (All Ages),0.95,0.0361,central,0.9,0.5,1335733710.762467
All Adults (18+),0.95,0.0361,central,0.9,0.5,20020951.3746079
No Vaccination,0.95,0.0361,central,0.9,0.5,10960615692.814404
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1,0.5,4427379764.206361
Universal (All Ages),0.8,0.0361,central,1,0.5,3242682133.2275496
All Adults (18+),0.8,0.0361,central,1,0.5,20463990.258466307
No Vaccination,0.8,0.0361,central,1,0.5,12169605542.953825
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1,0.5,4427379764.206361
Universal (All Ages),0.9,0.0361,central,1,0.5,2126816707.011765
All Adults (18+),0.9,0.0361,central,1,0.5,20463990.258466307
No Vaccination,0.9,0.0361,central,1,0.5,12169605542.953825
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1,0.5,4427379764.206361
Universal (All Ages),0.95,0.0361,central,1,0.5,1568883993.9038734
All Adults (18+),0.95,0.0361,central,1,0.5,20463990.258466307
No Vaccination,0.95,0.0361,central,1,0.5,12169605542.953825
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.1,0.5,4866602862.808617
Universal (All Ages),0.8,0.0361,central,1.1,0.5,3629912348.0002213
All Adults (18+),0.8,0.0361,central,1.1,0.5,20907029.142324716
No Vaccination,0.8,0.0361,central,1.1,0.5,13378595393.093246
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.1,0.5,4866602862.808617
Universal (All Ages),0.9,0.0361,central,1.1,0.5,2411326967.3635936
All Adults (18+),0.9,0.0361,central,1.1,0.5,20907029.142324716
No Vaccination,0.9,0.0361,central,1.1,0.5,13378595393.093246
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.1,0.5,4866602862.808617
Universal (All Ages),0.95,0.0361,central,1.1,0.5,1802034277.04528
All Adults (18+),0.95,0.0361,central,1.1,0.5,20907029.142324716
No Vaccination,0.95,0.0361,central,1.1,0.5,13378595393.093246
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.2000000000000002,0.5,5305825961.410873
Universal (All Ages),0.8,0.0361,central,1.2000000000000002,0.5,4017142562.772894
All Adults (18+),0.8,0.0361,central,1.2000000000000002,0.5,21350068.02618313
No Vaccination,0.8,0.0361,central,1.2000000000000002,0.5,14587585243.232668
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.2000000000000002,0.5,5305825961.410873
Universal (All Ages),0.9,0.0361,central,1.2000000000000002,0.5,2695837227.7154217
All Adults (18+),0.9,0.0361,central,1.2000000000000002,0.5,21350068.02618313
No Vaccination,0.9,0.0361,central,1.2000000000000002,0.5,14587585243.232668
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.2000000000000002,0.5,5305825961.410873
Universal (All Ages),0.95,0.0361,central,1.2000000000000002,0.5,2035184560.1866865
All Adults (18+),0.95,0.0361,central,1.2000000000000002,0.5,21350068.02618313
No Vaccination,0.95,0.0361,central,1.2000000000000002,0.5,14587585243.232668
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.3000000000000003,0.5,5745049060.01313
Universal (All Ages),0.8,0.0361,central,1.3000000000000003,0.5,4404372777.545566
All Adults (18+),0.8,0.0361,central,1.3000000000000003,0.5,21793106.91004154
No Vaccination,0.8,0.0361,central,1.3000000000000003,0.5,15796575093.37209
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.3000000000000003,0.5,5745049060.01313
Universal (All Ages),0.9,0.0361,central,1.3000000000000003,0.5,2980347488.0672503
All Adults (18+),0.9,0.0361,central,1.3000000000000003,0.5,21793106.91004154
No Vaccination,0.9,0.0361,central,1.3000000000000003,0.5,15796575093.37209
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.3000000000000003,0.5,5745049060.01313
Universal (All Ages),0.95,0.0361,central,1.3000000000000003,0.5,2268334843.328093
All Adults (18+),0.95,0.0361,central,1.3000000000000003,0.5,21793106.91004154
No Vaccination,0.95,0.0361,central,1.3000000000000003,0.5,15796575093.37209
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.4000000000000001,0.5,6184272158.615386
Universal (All Ages),0.8,0.0361,central,1.4000000000000001,0.5,4791602992.318237
All Adults (18+),0.8,0.0361,central,1.4000000000000001,0.5,22236145.79389995
No Vaccination,0.8,0.0361,central,1.4000000000000001,0.5,17005564943.51151
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.4000000000000001,0.5,6184272158.615386
Universal (All Ages),0.9,0.0361,central,1.4000000000000001,0.5,3264857748.4190784
All Adults (18+),0.9,0.0361,central,1.4000000000000001,0.5,22236145.79389995
No Vaccination,0.9,0.0361,central,1.4000000000000001,0.5,17005564943.51151
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.4000000000000001,0.5,6184272158.615386
Universal (All Ages),0.95,0.0361,central,1.4000000000000001,0.5,2501485126.469499
All Adults (18+),0.95,0.0361,central,1.4000000000000001,0.5,22236145.79389995
No Vaccination,0.95,0.0361,central,1.4000000000000001,0.5,17005564943.51151
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.5000000000000002,0.5,6623495257.217642
Universal (All Ages),0.8,0.0361,central,1.5000000000000002,0.5,5178833207.090909
All Adults (18+),0.8,0.0361,central,1.5000000000000002,0.5,22679184.67775836
No Vaccination,0.8,0.0361,central,1.5000000000000002,0.5,18214554793.65093
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.5000000000000002,0.5,6623495257.217642
Universal (All Ages),0.9,0.0361,central,1.5000000000000002,0.5,3549368008.7709064
All Adults (18+),0.9,0.0361,central,1.5000000000000002,0.5,22679184.67775836
No Vaccination,0.9,0.0361,central,1.5000000000000002,0.5,18214554793.65093
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.5000000000000002,0.5,6623495257.217642
Universal (All Ages),0.95,0.0361,central,1.5000000000000002,0.5,2734635409.6109056
All Adults (18+),0.95,0.0361,central,1.5000000000000002,0.5,22679184.67775836
No Vaccination,0.95,0.0361,central,1.5000000000000002,0.5,18214554793.65093
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.6,0.5,7062718355.819897
Universal (All Ages),0.8,0.0361,central,1.6,0.5,5566063421.86358
All Adults (18+),0.8,0.0361,central,1.6,0.5,23122223.56161677
No Vaccination,0.8,0.0361,central,1.6,0.5,19423544643.790348
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.6,0.5,7062718355.819897
Universal (All Ages),0.9,0.0361,central,1.6,0.5,3833878269.122734
All Adults (18+),0.9,0.0361,central,1.6,0.5,23122223.56161677
No Vaccination,0.9,0.0361,central,1.6,0.5,19423544643.790348
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.6,0.5,7062718355.819897
Universal (All Ages),0.95,0.0361,central,1.6,0.5,2967785692.7523117
All Adults (18+),0.95,0.0361,central,1.6,0.5,23122223.56161677
No Vaccination,0.95,0.0361,central,1.6,0.5,19423544643.790348
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.7000000000000002,0.5,7501941454.422153
Universal (All Ages),0.8,0.0361,central,1.7000000000000002,0.5,5953293636.636252
All Adults (18+),0.8,0.0361,central,1.7000000000000002,0.5,23565262.44547518
No Vaccination,0.8,0.0361,central,1.7000000000000002,0.5,20632534493.92977
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.7000000000000002,0.5,7501941454.422153
