policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
No Vaccination,0.95,0.0361,central,0.6,0.1,7333646142.39614
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.7000000000000001,0.1,3109710468.3995934
Universal (All Ages),0.8,0.0361,central,0.7000000000000001,0.1,2624079520.9095345
All Adults (18+),0.8,0.0361,central,0.7000000000000001,0.1,19134873.606891077
No Vaccination,0.8,0.0361,central,0.7000000000000001,0.1,8542635992.5355625
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.7000000000000001,0.1,3109710468.3995934
Universal (All Ages),0.9,0.0361,central,0.7000000000000001,0.1,1884259961.9562807
All Adults (18+),0.9,0.0361,central,0.7000000000000001,0.1,19134873.606891077
No Vaccination,0.9,0.0361,central,0.7000000000000001,0.1,8542635992.5355625
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.7000000000000001,0.1,3109710468.3995934
Universal (All Ages),0.95,0.0361,central,0.7000000000000001,0.1,1514350182.479654
All Adults (18+),0.95,0.0361,central,0.7000000000000001,0.1,19134873.606891077
No Vaccination,0.95,0.0361,central,0.7000000000000001,0.1,8542635992.5355625
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.8,0.1,3548933567.0018487
Universal (All Ages),0.8,0.0361,central,0.8,0.1,3011309735.6822057
All Adults (18+),0.8,0.0361,central,0.8,0.1,19577912.490749486
No Vaccination,0.8,0.0361,central,0.8,0.1,9751625842.674982
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.8,0.1,3548933567.0018487
Universal (All Ages),0.9,0.0361,central,0.8,0.1,2168770222.308109
All Adults (18+),0.9,0.0361,central,0.8,0.1,19577912.490749486
No Vaccination,0.9,0.0361,central,0.8,0.1,9751625842.674982
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.8,0.1,3548933567.0018487
Universal (All Ages),0.95,0.0361,central,0.8,0.1,1747500465.6210604
All Adults (18+),0.95,0.0361,central,0.8,0.1,19577912.490749486
No Vaccination,0.95,0.0361,central,0.8,0.1,9751625842.674982
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.9,0.1,3988156665.6041055
Universal (All Ages),0.8,0.0361,central,0.9,0.1,3398539950.454878
All Adults (18+),0.8,0.0361,central,0.9,0.1,20020951.3746079
No Vaccination,0.8,0.0361,central,0.9,0.1,10960615692.814404
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.9,0.1,3988156665.6041055
Universal (All Ages),0.9,0.0361,central,0.9,0.1,2453280482.659937
All Adults (18+),0.9,0.0361,central,0.9,0.1,20020951.3746079
No Vaccination,0.9,0.0361,central,0.9,0.1,10960615692.814404
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.9,0.1,3988156665.6041055
Universal (All Ages),0.95,0.0361,central,0.9,0.1,1980650748.762467
All Adults (18+),0.95,0.0361,central,0.9,0.1,20020951.3746079
No Vaccination,0.95,0.0361,central,0.9,0.1,10960615692.814404
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1,0.1,4427379764.206361
Universal (All Ages),0.8,0.0361,central,1,0.1,3785770165.2275496
All Adults (18+),0.8,0.0361,central,1,0.1,20463990.258466307
No Vaccination,0.8,0.0361,central,1,0.1,12169605542.953825
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1,0.1,4427379764.206361
Universal (All Ages),0.9,0.0361,central,1,0.1,2737790743.011765
All Adults (18+),0.9,0.0361,central,1,0.1,20463990.258466307
No Vaccination,0.9,0.0361,central,1,0.1,12169605542.953825
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1,0.1,4427379764.206361
Universal (All Ages),0.95,0.0361,central,1,0.1,2213801031.9038734
All Adults (18+),0.95,0.0361,central,1,0.1,20463990.258466307
No Vaccination,0.95,0.0361,central,1,0.1,12169605542.953825
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.1,0.1,4866602862.808617
Universal (All Ages),0.8,0.0361,central,1.1,0.1,4173000380.0002213
All Adults (18+),0.8,0.0361,central,1.1,0.1,20907029.142324716
